fiscal_year,main_revenue_indicator_en,main_revenue_indicator_kh,sub_revenue_indicator_en,sub_revenue_indicator_kh,budget_law_amount ,implement_amount , deficit_surplus ,comment
2016,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,203000,286935.4,83935.4,
2016,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,3871350,3831250.2,-40099.8,
2015,Current Revenue,ចំណូលចរន្ត,,,11014644,12245639.1,1230995.1,
2015,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,133586,121383.1,-12202.9,
2015,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,300000,141776.3,-158223.7,
2015,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,3687000,3720405.3,33405.3,
2014,Current Revenue,ចំណូលចរន្ត,,,9712627,10829696.6,1117069.6,
2014,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,233000,183996.1,-49003.9,
2014,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,260000,16768.2,-243231.8,
2014,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,3460000,4240479.9,780479.9,
2013,Government deposits,បញ្ញើររដ្ឋាភិបាល,Government deposits,បញ្ញើររដ្ឋាភិបាល,171274,0,231827.4,"This figure includes the use of government deposits amounting to 171,274 million riels."
2013,Current Revenue,ចំណូលចរន្ត,,,8473778.3,8705605.7,231827.4,
2013,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,82000,68169.7,-13830.3,
2013,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,222021,280674.7,58653.7,
2013,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,3146000,4306083.9,1160083.9,
2012,Government deposits,បញ្ញើររដ្ឋាភិបាល,Government deposits,បញ្ញើររដ្ឋាភិបាល,7325,0,-7325,"This figure includes the use of government deposits amounting to 7,325  million riels."
